Screen Name,Full Reposts (last 200 Twts),Mostly Reposts,3+ Langs Used,Article Headline Tweeter,Failed a Test?
joygirl_1,0,1,0,0,1
NirvanaKacala1,1,0,0,0,1
Sunnyforever515,0,1,0,0,1
Sandy57490859,0,1,0,0,1
Babez36668279,1,1,0,0,1
Kaidao4,0,1,0,0,1
jackfletcher921,1,1,0,1,1
gemma_esguerra,0,1,0,0,1
Jinjin87969118,1,1,0,0,1
Sangloa1,0,1,0,0,1
ParkSom04379597,1,1,0,0,1
EllaAlvar5,0,1,0,0,1
Hjjjj51358883,0,1,0,0,1
mandyandivan,0,1,0,0,1
PinkyLorenzo3,1,1,0,0,1
Jinjin87969118,1,1,0,0,1
Liliana99352080,0,1,0,0,1
bettylou1234,0,1,0,0,1
kurata_akihiro,0,1,0,0,1
KinCho80089163,0,1,0,0,1
AlanoGenerose,1,1,0,0,1
Zeta22277016,0,1,0,0,1
27_marv,1,1,0,1,1
whymustyoujudge,0,1,0,0,1
JanGrandma71216,1,1,0,0,1
Miracleof93,0,1,0,0,1
ArmyAlice4ever,0,1,0,0,1
lizrobinson54,0,0,0,1,1
PChutimanukul,0,1,0,0,1
Sexykook1,1,1,0,1,1
Cherry_20140116,0,1,0,0,1
Pen17683424,0,1,0,0,1
Momo47346585,0,1,0,0,1
lizrobinson54,0,0,0,1,1
KimKin11320510,0,1,0,0,1
VyDoan14,0,1,0,0,1
orne07,0,1,0,0,1
SomeDay03110535,0,1,0,1,1
ETrippi2,1,0,0,0,1
howedns1,0,0,0,1,1
123Tatiana,0,1,0,0,1
LoriBKohn,0,1,0,0,1
catinouye,0,1,0,0,1
AsandurBabu,0,1,0,1,1
rossana_manalo,0,1,0,0,1
KarenCh55136499,0,1,0,0,1
oyanus1,0,1,0,0,1
rumikollaus62,0,0,0,1,1
Thirat17,1,1,0,0,1
DavidNe41143027,0,1,0,0,1
LoriBKohn,0,1,0,0,1
SueSandberg14,0,1,0,0,1
Nsgrund,0,1,0,0,1
DavidNe41143027,0,1,0,0,1
Irishaustria4,0,1,0,0,1
GZdrojowy,1,0,0,0,1
gigiguinez,1,1,0,0,1
LoriBKohn,0,1,0,0,1
minimee02806230,0,1,0,0,1
GZdrojowy,1,0,0,0,1
titijojo,0,1,0,0,1
SCAM518,0,1,0,0,1
ClareChapuis,1,1,0,0,1
DavidNe41143027,0,1,0,0,1
made10,1,1,0,0,1
Philipnandesh1,0,1,0,0,1
Duday171,0,1,0,0,1
ElleOeh,0,0,0,1,1
IlaganCharlot,0,1,0,0,1
AbearEllen,0,1,0,0,1
Babez36668279,0,1,0,0,1
Monir47872232,0,1,0,0,1
mamamoyan,0,1,0,0,1
DavidNe41143027,0,1,0,0,1
JackLtila,1,1,0,0,1
elviratesio,0,1,0,0,1
Babez36668279,0,1,0,0,1
JackLtila,1,1,0,0,1
LoriBKohn,0,1,0,0,1
lbutronp,1,1,0,0,1
jive_king,0,1,0,1,1
leopundit,0,0,0,0,0
Snatchbacd,0,0,0,0,0
twit_tumb_insta,0,0,0,0,0
TheLordAcharon1,0,0,0,0,0
vina05402762,Account Deleted,0,0,0,0
GilkisonBonnie,0,0,0,0,0
Sunisa79247392,Account Deleted,0,0,0,0
PhasuSeema,0,0,0,0,0
GilkisonBonnie,0,0,0,0,0
jdclements50,0,0,0,0,0
LauraWi12665522,0,0,0,0,0
Nonna_Rose,0,0,0,0,0
Hijhhhhh1,0,0,0,0,0
Ks123417,0,0,0,0,0
MadDogMargie,0,0,0,0,0
kimerlyus,0,0,0,0,0
JOSEFTOURE,0,0,0,0,0
Tonyspade92,0,0,0,0,0
mdono13,0,0,0,0,0
saragon2016,0,0,0,0,0
LauraWi12665522,0,0,0,0,0
mgulley08,0,0,0,0,0
Trick31617355,0,0,0,0,0
mimik5280,0,0,0,0,0
standfielddts,0,0,0,0,0
foreman_y,0,0,0,0,0
judith11027894,0,0,0,0,0
jdclements50,0,0,0,0,0
jtfatman666,0,0,0,0,0
Ks123417,0,0,0,0,0
noaker_angela,Account Deleted,0,0,0,0
lol61393147,0,0,0,0,0
lol61393147,0,0,0,0,0
bob92075,0,0,0,0,0
Ks123417,0,0,0,0,0
Ks123417,0,0,0,0,0
MadDogMargie,0,0,0,0,0
bob92075,0,0,0,0,0
bob92075,0,0,0,0,0
Allison26832044,0,0,0,0,0
MadDogMargie,0,0,0,0,0
bob92075,0,0,0,0,0
noaker_angela,Account Deleted,0,0,0,0
bob92075,0,0,0,0,0
laura_bleau,0,0,0,0,0
LauraWi12665522,0,0,0,0,0
lookpla97,0,0,1,0,1
